pkey,path_name,aside_interface,zside_interface,bandwidth
1,leaf1/Hu0/0/0/0_dr01/Hu0/0/0/0,leaf1/Hu0/0/0/0,dr01/Hu0/0/0/0,100Gbps
2,leaf1/Hu0/0/0/1_dr01/Hu0/0/0/1,leaf1/Hu0/0/0/1,dr01/Hu0/0/0/1,100Gbps
3,leaf1/Hu0/0/0/2_leaf2/Hu0/0/0/2,leaf1/Hu0/0/0/2,leaf2/Hu0/0/0/2,100Gbps
4,leaf1/Hu0/0/0/4_spine1/Hu0/0/0/0,leaf1/Hu0/0/0/4,spine1/Hu0/0/0/0,100Gbps
5,leaf1/Hu0/0/0/5_spine1/Hu0/0/0/1,leaf1/Hu0/0/0/5,spine1/Hu0/0/0/1,100Gbps
6,leaf1/Hu0/0/0/6_spine1/Hu0/0/0/2,leaf1/Hu0/0/0/6,spine1/Hu0/0/0/2,100Gbps
7,leaf1/Hu0/0/0/7_spine1/Hu0/0/0/3,leaf1/Hu0/0/0/7,spine1/Hu0/0/0/3,100Gbps
8,leaf1/Hu0/0/0/8_spine2/Hu0/0/0/0,leaf1/Hu0/0/0/8,spine2/Hu0/0/0/0,100Gbps
9,leaf1/Hu0/0/0/9_spine2/Hu0/0/0/1,leaf1/Hu0/0/0/9,spine2/Hu0/0/0/1,100Gbps
10,leaf1/Hu0/0/0/10_spine2/Hu0/0/0/2,leaf1/Hu0/0/0/10,spine2/Hu0/0/0/2,100Gbps
11,leaf1/Hu0/0/0/11_spine2/Hu0/0/0/3,leaf1/Hu0/0/0/11,spine2/Hu0/0/0/3,100Gbps
12,leaf1/Hu0/0/0/12_spine3/Hu0/0/0/0,leaf1/Hu0/0/0/12,spine3/Hu0/0/0/0,100Gbps
13,leaf1/Hu0/0/0/13_spine3/Hu0/0/0/1,leaf1/Hu0/0/0/13,spine3/Hu0/0/0/1,100Gbps
14,leaf1/Hu0/0/0/14_spine3/Hu0/0/0/2,leaf1/Hu0/0/0/14,spine3/Hu0/0/0/2,100Gbps
15,leaf1/Hu0/0/0/15_spine3/Hu0/0/0/3,leaf1/Hu0/0/0/15,spine3/Hu0/0/0/3,100Gbps
16,leaf1/Hu0/0/0/16_spine4/Hu0/0/0/0,leaf1/Hu0/0/0/16,spine4/Hu0/0/0/0,100Gbps
17,leaf1/Hu0/0/0/17_spine4/Hu0/0/0/1,leaf1/Hu0/0/0/17,spine4/Hu0/0/0/1,100Gbps
18,leaf1/Hu0/0/0/18_spine4/Hu0/0/0/2,leaf1/Hu0/0/0/18,spine4/Hu0/0/0/2,100Gbps
19,leaf1/Hu0/0/0/19_spine4/Hu0/0/0/3,leaf1/Hu0/0/0/19,spine4/Hu0/0/0/3,100Gbps
20,leaf1/Hu0/0/0/30_rswA5/Eth1/32,leaf1/Hu0/0/0/30,rswA5/Eth1/32,40Gbps
21,leaf1/Hu0/0/0/31_rswA6/Eth1/13,leaf1/Hu0/0/0/31,rswA6/Eth1/13,40Gbps
22,leaf2/Hu0/0/0/0_dr01/Hu0/0/0/2,leaf2/Hu0/0/0/0,dr01/Hu0/0/0/2,100Gbps
23,leaf2/Hu0/0/0/1_dr01/Hu0/0/0/3,leaf2/Hu0/0/0/1,dr01/Hu0/0/0/3,100Gbps
24,leaf2/Hu0/0/0/2_leaf1/Hu0/0/0/2,leaf2/Hu0/0/0/2,leaf1/Hu0/0/0/2,100Gbps
25,leaf2/Hu0/0/0/3_leaf3/Hu0/0/0/2,leaf2/Hu0/0/0/3,leaf3/Hu0/0/0/2,100Gbps
26,leaf2/Hu0/0/0/4_spine1/Hu0/0/0/4,leaf2/Hu0/0/0/4,spine1/Hu0/0/0/4,100Gbps
27,leaf2/Hu0/0/0/5_spine1/Hu0/0/0/5,leaf2/Hu0/0/0/5,spine1/Hu0/0/0/5,100Gbps
28,leaf2/Hu0/0/0/6_spine1/Hu0/0/0/6,leaf2/Hu0/0/0/6,spine1/Hu0/0/0/6,100Gbps
29,leaf2/Hu0/0/0/7_spine1/Hu0/0/0/7,leaf2/Hu0/0/0/7,spine1/Hu0/0/0/7,100Gbps
30,leaf2/Hu0/0/0/8_spine2/Hu0/0/0/4,leaf2/Hu0/0/0/8,spine2/Hu0/0/0/4,100Gbps
31,leaf2/Hu0/0/0/9_spine2/Hu0/0/0/5,leaf2/Hu0/0/0/9,spine2/Hu0/0/0/5,100Gbps
32,leaf2/Hu0/0/0/10_spine2/Hu0/0/0/6,leaf2/Hu0/0/0/10,spine2/Hu0/0/0/6,100Gbps
33,leaf2/Hu0/0/0/11_spine2/Hu0/0/0/7,leaf2/Hu0/0/0/11,spine2/Hu0/0/0/7,100Gbps
34,leaf2/Hu0/0/0/12_spine3/Hu0/0/0/4,leaf2/Hu0/0/0/12,spine3/Hu0/0/0/4,100Gbps
35,leaf2/Hu0/0/0/13_spine3/Hu0/0/0/5,leaf2/Hu0/0/0/13,spine3/Hu0/0/0/5,100Gbps
36,leaf2/Hu0/0/0/14_spine3/Hu0/0/0/6,leaf2/Hu0/0/0/14,spine3/Hu0/0/0/6,100Gbps
37,leaf2/Hu0/0/0/15_spine3/Hu0/0/0/7,leaf2/Hu0/0/0/15,spine3/Hu0/0/0/7,100Gbps
38,leaf2/Hu0/0/0/16_spine4/Hu0/0/0/4,leaf2/Hu0/0/0/16,spine4/Hu0/0/0/4,100Gbps
39,leaf2/Hu0/0/0/17_spine4/Hu0/0/0/5,leaf2/Hu0/0/0/17,spine4/Hu0/0/0/5,100Gbps
40,leaf2/Hu0/0/0/18_spine4/Hu0/0/0/6,leaf2/Hu0/0/0/18,spine4/Hu0/0/0/6,100Gbps
41,leaf2/Hu0/0/0/19_spine4/Hu0/0/0/7,leaf2/Hu0/0/0/19,spine4/Hu0/0/0/7,100Gbps
42,leaf2/Hu0/0/0/30_rswA5/Eth1/29,leaf2/Hu0/0/0/30,rswA5/Eth1/29,40Gbps
43,leaf2/Hu0/0/0/31_rswA6/Eth1/14,leaf2/Hu0/0/0/31,rswA6/Eth1/14,40Gbps
44,leaf3/Hu0/0/0/0_dr01/Hu0/0/0/4,leaf3/Hu0/0/0/0,dr01/Hu0/0/0/4,100Gbps
45,leaf3/Hu0/0/0/1_dr01/Hu0/0/0/5,leaf3/Hu0/0/0/1,dr01/Hu0/0/0/5,100Gbps
46,leaf3/Hu0/0/0/2_leaf2/Hu0/0/0/3,leaf3/Hu0/0/0/2,leaf2/Hu0/0/0/3,100Gbps
47,leaf3/Hu0/0/0/3_leaf4/Hu0/0/0/2,leaf3/Hu0/0/0/3,leaf4/Hu0/0/0/2,100Gbps
48,leaf3/Hu0/0/0/4_spine1/Hu0/0/0/12,leaf3/Hu0/0/0/4,spine1/Hu0/0/0/12,100Gbps
49,leaf3/Hu0/0/0/5_spine1/Hu0/0/0/13,leaf3/Hu0/0/0/5,spine1/Hu0/0/0/13,100Gbps
50,leaf3/Hu0/0/0/6_spine1/Hu0/0/0/14,leaf3/Hu0/0/0/6,spine1/Hu0/0/0/14,100Gbps
51,leaf3/Hu0/0/0/7_spine1/Hu0/0/0/11,leaf3/Hu0/0/0/7,spine1/Hu0/0/0/11,100Gbps
52,leaf3/Hu0/0/0/8_spine2/Hu0/0/0/8,leaf3/Hu0/0/0/8,spine2/Hu0/0/0/8,100Gbps
53,leaf3/Hu0/0/0/9_spine2/Hu0/0/0/9,leaf3/Hu0/0/0/9,spine2/Hu0/0/0/9,100Gbps
54,leaf3/Hu0/0/0/10_spine2/Hu0/0/0/10,leaf3/Hu0/0/0/10,spine2/Hu0/0/0/10,100Gbps
55,leaf3/Hu0/0/0/11_spine2/Hu0/0/0/11,leaf3/Hu0/0/0/11,spine2/Hu0/0/0/11,100Gbps
56,leaf3/Hu0/0/0/12_spine3/Hu0/0/0/12,leaf3/Hu0/0/0/12,spine3/Hu0/0/0/12,100Gbps
57,leaf3/Hu0/0/0/13_spine3/Hu0/0/0/13,leaf3/Hu0/0/0/13,spine3/Hu0/0/0/13,100Gbps
58,leaf3/Hu0/0/0/14_spine3/Hu0/0/0/14,leaf3/Hu0/0/0/14,spine3/Hu0/0/0/14,100Gbps
59,leaf3/Hu0/0/0/15_spine3/Hu0/0/0/15,leaf3/Hu0/0/0/15,spine3/Hu0/0/0/15,100Gbps
60,leaf3/Hu0/0/0/16_spine4/Hu0/0/0/16,leaf3/Hu0/0/0/16,spine4/Hu0/0/0/16,100Gbps
61,leaf3/Hu0/0/0/17_spine4/Hu0/0/0/17,leaf3/Hu0/0/0/17,spine4/Hu0/0/0/17,100Gbps
62,leaf3/Hu0/0/0/18_spine4/Hu0/0/0/18,leaf3/Hu0/0/0/18,spine4/Hu0/0/0/18,100Gbps
63,leaf3/Hu0/0/0/19_spine4/Hu0/0/0/19,leaf3/Hu0/0/0/19,spine4/Hu0/0/0/19,100Gbps
64,leaf3/Hu0/0/0/30_rswA5/N3K-C3232,leaf3/Hu0/0/0/30,rswA5/N3K-C3232,40Gbps
65,leaf3/Hu0/0/0/31_rswA6/Eth1/14,leaf3/Hu0/0/0/31,rswA6/Eth1/14,40Gbps
66,leaf4/Hu0/0/0/0_dr01/Hu0/0/0/6,leaf4/Hu0/0/0/0,dr01/Hu0/0/0/6,100Gbps
67,leaf4/Hu0/0/0/1_dr01/Hu0/0/0/7,leaf4/Hu0/0/0/1,dr01/Hu0/0/0/7,100Gbps
68,leaf4/Hu0/0/0/2_leaf3/Hu0/0/0/3,leaf4/Hu0/0/0/2,leaf3/Hu0/0/0/3,100Gbps
69,leaf4/Hu0/0/0/3_leaf5/Hu0/0/0/2,leaf4/Hu0/0/0/3,leaf5/Hu0/0/0/2,100Gbps
70,leaf4/Hu0/0/0/4_spine1/Hu0/0/0/12,leaf4/Hu0/0/0/4,spine1/Hu0/0/0/12,100Gbps
71,leaf4/Hu0/0/0/5_spine1/Hu0/0/0/13,leaf4/Hu0/0/0/5,spine1/Hu0/0/0/13,100Gbps
72,leaf4/Hu0/0/0/6_spine1/Hu0/0/0/14,leaf4/Hu0/0/0/6,spine1/Hu0/0/0/14,100Gbps
73,leaf4/Hu0/0/0/7_spine1/Hu0/0/0/15,leaf4/Hu0/0/0/7,spine1/Hu0/0/0/15,100Gbps
74,leaf4/Hu0/0/0/8_spine2/Hu0/0/0/12,leaf4/Hu0/0/0/8,spine2/Hu0/0/0/12,100Gbps
75,leaf4/Hu0/0/0/9_spine2/Hu0/0/0/13,leaf4/Hu0/0/0/9,spine2/Hu0/0/0/13,100Gbps
